ClusterName,EvaluationName,TotalItems,QtyComplianceYES,QtyComplianceNO,PercentComplianceYES,PercentComplianceNO
AZ-EU-PV-PRD-CE-PO-AKS-01,6_kubernetes_retry_policy_compliance,72,0,72,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,7_kubernetes_connection_handling_compliance,72,0,72,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,8_kubernetes_pod_grace_period,72,0,72,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,9_CMD_SIGTERM_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,10_socket_closure_compliance,124,0,124,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,11_replica_count_compliance,171,60,111,35.09%,64.91%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,12_node_affinity_compliance,61,0,61,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,13_pod_disruption_budget_compliance,3,3,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,14_resource_limits_compliance,61,52,9,85.25%,14.75%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,15_cpu_request_compliance,193,0,193,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,16_disable_cpu_limits_compliance,188,188,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,17_namespace_limitrange_compliance,42,42,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,18_pod_qos_compliance,118,104,14,88.14%,11.86%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,19_kubernetes_compliance,476,0,476,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,1_check_readiness,130,22,108,16.92%,83.08%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,20_kubernetes_commercial_compliance,476,0,476,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,21_kubernetes_security_compliance,475,0,475,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,22_logging_compliance,117,0,117,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,23_sidecar_logging_compliance,117,117,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,24_stateless_containers_compliance,123,111,12,90.24%,9.76%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,25_hpa_usage_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,27_cluster_autoscaler_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,28_config_exteriorization_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,29_SecretsMountValidation,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,2_crash_events,124,27,97,21.77%,78.23%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,30_NamespaceLimitRangeValidation,43,0,43,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,31_NamespaceResourceQuotaValidation,43,0,43,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,32_kubernetes_pod_security_policies,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,33_PodPrivilegedCheck,117,109,8,93.16%,6.84%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,34_PodReadOnlyFilesystemCheck,117,9,108,7.69%,92.31%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,35_PodRootUserCheck,117,117,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,37_kubernetes_privilege_escalation,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,38_NetworkPolicyCheck,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,39_ConservativeNetworkPolicyCheck,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,3_liveness_probe_info,130,21,109,16.15%,83.85%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,40_DisableAutoMount_Report,56,56,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,41_RBAC_MinimumPrivileges_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,42_RBAC_GranularRoles_Check,5,0,5,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,43_ImagePolicyWebhook_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,43_RBAC_Policies_Report,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PVYC-AKS-01,44_IngressHostUniqueness_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,45_IngressApprovedDomains_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,4_kubernetes_compliance,130,124,6,95.38%,4.62%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,5_kubernetes_readiness_probe_compliance,130,130,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,6_kubernetes_retry_policy_compliance,130,0,130,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,7_kubernetes_connection_handling_compliance,130,0,130,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,8_kubernetes_pod_grace_period,130,0,130,0.00%,100.00%
AZ-EU-PV-PRD-CE-PVYC-AKS-01,9_CMD_SIGTERM_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,10_socket_closure_compliance,222,0,222,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,11_replica_count_compliance,573,44,529,7.68%,92.32%
AZUE-PV-CEP-PRD-AKS-01,12_node_affinity_compliance,155,0,155,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,13_pod_disruption_budget_compliance,2,2,0,100.00%,0.00%
AZUE-PV-CEP-PRD-AKS-01,14_resource_limits_compliance,155,149,6,96.13%,3.87%
AZUE-PV-CEP-PRD-AKS-01,15_cpu_request_compliance,391,0,391,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,16_disable_cpu_limits_compliance,391,391,0,100.00%,0.00%
AZUE-PV-CEP-PRD-AKS-01,17_namespace_limitrange_compliance,31,31,0,100.00%,0.00%
AZUE-PV-CEP-PRD-AKS-01,18_pod_qos_compliance,222,215,7,96.85%,3.15%
AZUE-PV-CEP-PRD-AKS-01,19_kubernetes_compliance,1315,0,1315,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,1_check_readiness,234,16,218,6.84%,93.16%
AZUE-PV-CEP-PRD-AKS-01,20_kubernetes_commercial_compliance,1315,0,1315,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,21_kubernetes_security_compliance,1315,0,1315,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,22_logging_compliance,220,0,220,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,23_sidecar_logging_compliance,220,220,0,100.00%,0.00%
AZUE-PV-CEP-PRD-AKS-01,24_stateless_containers_compliance,232,209,23,90.09%,9.91%
AZUE-PV-CEP-PRD-AKS-01,25_hpa_usage_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,27_cluster_autoscaler_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,28_config_exteriorization_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,29_SecretsMountValidation,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,2_crash_events,222,25,197,11.26%,88.74%
AZUE-PV-CEP-PRD-AKS-01,30_NamespaceLimitRangeValidation,32,0,32,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,31_NamespaceResourceQuotaValidation,32,0,32,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,32_kubernetes_pod_security_policies,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,33_PodPrivilegedCheck,220,210,10,95.45%,4.55%
AZUE-PV-CEP-PRD-AKS-01,34_PodReadOnlyFilesystemCheck,220,15,205,6.82%,93.18%
AZUE-PV-CEP-PRD-AKS-01,35_PodRootUserCheck,220,220,0,100.00%,0.00%
AZUE-PV-CEP-PRD-AKS-01,37_kubernetes_privilege_escalation,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,38_NetworkPolicyCheck,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,39_ConservativeNetworkPolicyCheck,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,3_liveness_probe_info,234,13,221,5.56%,94.44%
AZUE-PV-CEP-PRD-AKS-01,40_DisableAutoMount_Report,41,41,0,100.00%,0.00%
AZUE-PV-CEP-PRD-AKS-01,41_RBAC_MinimumPrivileges_Check,2,0,2,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,42_RBAC_GranularRoles_Check,5,0,5,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,43_ImagePolicyWebhook_Check,4,0,4,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,43_RBAC_Policies_Report,Without Data,Without Data,Without Data,N/A,N/A
AZUE-PV-CEP-PRD-AKS-01,44_IngressHostUniqueness_Check,4,0,4,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,45_IngressApprovedDomains_Check,4,0,4,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,4_kubernetes_compliance,234,230,4,98.29%,1.71%
AZUE-PV-CEP-PRD-AKS-01,5_kubernetes_readiness_probe_compliance,234,234,0,100.00%,0.00%
AZUE-PV-CEP-PRD-AKS-01,6_kubernetes_retry_policy_compliance,234,0,234,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,7_kubernetes_connection_handling_compliance,234,0,234,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,8_kubernetes_pod_grace_period,234,0,234,0.00%,100.00%
AZUE-PV-CEP-PRD-AKS-01,9_CMD_SIGTERM_compliance,Without Data,Without Data,Without Data,N/A,N/A
